ra dec z mag color id
149.168594 -0.380511 0.08565 17.711761 0.749547 70
149.160904 -0.358019 0.087763 14.943882 0.967000000000001 70
149.12384 -0.398273 0.087122 17.111841 0.852175000000003 70
149.186325 -0.311795 0.088339 16.786455 0.953289000000002 70
149.112656 -0.47563 0.086629 16.411747 0.965590000000002 70
149.149902 -0.49003 0.088037 17.133865 0.702083999999999 70
149.171539 -0.412977 0.085444 17.058531 0.899345 70
149.156204 -0.31523 0.085344 17.649729 0.812389 70
149.069458 -0.554999 0.088504 16.817373 0.966356999999999 70
149.025436 -0.120573 0.083825 17.627855 0.855150999999999 70
149.071198 -0.103108 0.084427 17.500511 0.849383 70
148.996994 -0.244627 0.084389 17.101555 0.875048999999997 70
149.084885 -0.300176 0.084394 17.699028 0.657148000000003 70
148.953644 -0.097135 0.083984 14.610093 0.940106999999999 70
149.328201 -0.470761 0.088428 16.913557 0.542701999999998 70
149.158157 -0.484178 0.088651 17.033741 0.905046000000002 70
149.377563 -0.318992 0.087762 17.518024 0.572734999999998 70
149.447906 -0.302886 0.087644 15.685822 0.909795000000001 70
149.382874 -0.252224 0.087263 16.6912 0.836706000000003 70
149.368774 -0.305088 0.087747 16.263311 0.838207999999998 70
149.462799 -0.239904 0.087352 17.569597 0.560247999999998 70
149.424042 -0.35489 0.088542 15.970924 0.939109999999999 70
149.449997 -0.433061 0.090091 16.342991 0.623643999999999 70
149.47757 -0.397207 0.088959 16.885845 0.711859 70
149.422714 -0.310713 0.088075 16.420372 0.542490000000001 70
149.17131 -0.363426 0.086485 17.447367 0.891697000000001 70
149.23317 -0.394123 0.089131 16.846685 0.830867999999999 70
149.300064 -0.424266 0.089007 16.55028 0.751569 70
149.311127 -0.310514 0.088625 16.678591 0.751076999999999 70
149.251389 -0.289802 0.086929 16.91884 0.690007000000001 70
149.2995 -0.159439 0.088151 17.649084 0.874874000000002 70
149.253342 -0.390295 0.087699 16.327606 0.983971 70
149.255005 -0.160033 0.089065 17.645918 0.556683999999997 70
149.27066 -0.264082 0.088077 17.746105 0.791891 70
148.969147 -0.179078 0.083271 17.096554 0.902141 70
149.006973 -0.241035 0.083704 16.17737 0.879967000000001 70
151.638489 0.538823 0.097103 17.735119 0.87097 249
151.687408 0.392834 0.095665 17.62867 0.873857000000001 249
151.662048 0.480567 0.096348 17.521919 0.927862000000001 249
151.673904 0.345366 0.096512 17.174341 0.892218000000003 249
151.837952 0.535688 0.097061 17.149263 0.921375999999999 249
151.800156 0.588604 0.098662 17.524277 0.959716999999998 249
151.765976 0.415931 0.095378 17.279922 0.855834000000002 249
151.693848 0.290124 0.097144 17.020617 0.96087 249
151.850143 0.550363 0.097764 16.419333 0.662749999999999 249
151.778763 0.311046 0.096814 17.707714 0.837111 249
